,Store ID,Store Location,Product ID,Product Name,Product Category,Current Stock,Reorder Level,Reorder Quantity,Last Restock Date,Projected Demand
44,S003,San Diego,P005,Azithromycin,Antibiotics (Prescription),54,11,47,2024-08-31,13
45,S004,Philadelphia,P005,Paclitaxel,Cancer Treatment (Prescription),81,15,46,2024-05-31,42
46,S004,Houston,P005,Alendronate,Bone Health (OTC & Prescription),19,17,28,2024-08-22,47
47,S004,New York City,P005,Citalopram,Mental Health (Prescription),73,6,25,2024-07-02,43
48,S004,San Antonio,P005,Acetaminophen,Pain Relief (OTC & Prescription),50,7,43,2024-02-04,30
49,S004,Los Angeles,P005,Citalopram,Mental Health (Prescription),78,17,30,2024-01-09,26
50,S004,New York City,P006,Diazepam,Mental Health (Prescription),17,12,41,2024-05-09,43
51,S004,San Antonio,P006,Insulin,Diabetes (Prescription & OTC),79,15,36,2024-04-13,19
52,S004,Dallas,P006,Doxorubicin,Cancer Treatment (Prescription),68,12,45,2024-07-25,19
53,S004,Houston,P006,Tenofovir,AIDS Treatment (Prescription),78,11,36,2024-03-03,44
54,S004,San Antonio,P006,Emtricitabine,AIDS Treatment (Prescription),61,17,20,2024-01-24,16
55,S004,Chicago,P006,Omeprazole,Gastrointestinal (OTC & Prescription),86,10,46,2024-06-16,46
56,S004,New York City,P006,Carbamazepine,Neurological Disorders (Prescription),53,7,21,2024-01-01,17
57,S004,Philadelphia,P006,Alendronate,Bone Health (OTC & Prescription),96,15,22,2024-06-29,26
58,S004,Phoenix,P006,Albuterol,Respiratory Diseases (OTC & Prescription),56,15,45,2024-08-21,23
59,S004,Houston,P006,Glipizide,Diabetes (Prescription & OTC),57,5,39,2024-08-20,29
60,S005,Los Angeles,P007,Insulin,Diabetes (Prescription & OTC),25,8,38,2024-08-20,46
61,S005,Phoenix,P007,Paclitaxel,Cancer Treatment (Prescription),28,11,26,2024-07-12,11
62,S005,Phoenix,P007,Oxycodone,Pain Relief (OTC & Prescription),43,15,40,2024-07-23,41
63,S005,New York City,P007,Alendronate,Bone Health (OTC & Prescription),55,5,41,2024-08-03,36
64,S005,Los Angeles,P007,Albuterol,Respiratory Diseases (OTC & Prescription),90,6,24,2024-06-24,43
65,S005,San Antonio,P007,Levetiracetam,Neurological Disorders (Prescription),33,12,42,2024-06-10,43
66,S005,Los Angeles,P007,Carbamazepine,Neurological Disorders (Prescription),11,12,45,2024-07-27,19
67,S005,San Jose,P007,Doxorubicin,Cancer Treatment (Prescription),32,13,23,2024-02-12,34
68,S005,San Antonio,P007,Clotrimazole,Dermatological (OTC & Prescription),92,19,35,2024-06-26,30
69,S005,New York City,P007,Levetiracetam,Neurological Disorders (Prescription),53,6,47,2024-05-14,16
70,S005,Chicago,P008,Olopatadine,Eye Health (OTC & Prescription),54,8,41,2024-07-30,40
71,S005,San Antonio,P008,Alendronate,Bone Health (OTC & Prescription),49,6,34,2024-04-02,30
72,S005,New York City,P008,Cisplatin,Cancer Treatment (Prescription),32,9,38,2024-03-27,38
73,S005,New York City,P008,Glyburide,Diabetes (Prescription & OTC),37,5,41,2024-02-28,42
74,S005,San Diego,P008,Doxorubicin,Cancer Treatment (Prescription),82,15,38,2024-06-18,46
75,S006,New York City,P008,Ranitidine,Gastrointestinal (OTC & Prescription),80,11,26,2024-01-23,17
76,S006,Los Angeles,P008,Ciprofloxacin,Antibiotics (Prescription),40,17,20,2024-03-25,40
77,S006,New York City,P008,Sertraline,Mental Health (Prescription),94,15,41,2024-07-01,10
78,S006,Los Angeles,P008,Aspirin,Pain Relief (OTC & Prescription),81,19,32,2024-01-21,33
79,S006,Dallas,P008,Olopatadine,Eye Health (OTC & Prescription),90,9,30,2024-03-24,31
80,S006,Dallas,P009,Oxycodone,Pain Relief (OTC & Prescription),37,12,23,2024-04-17,19
81,S006,San Diego,P009,Alendronate,Bone Health (OTC & Prescription),32,5,30,2024-03-19,46
82,S006,San Diego,P009,Clotrimazole,Dermatological (OTC & Prescription),79,15,32,2024-05-19,12
83,S006,San Antonio,P009,Glipizide,Diabetes (Prescription & OTC),17,9,32,2024-06-14,47
84,S006,Houston,P009,Montelukast,Respiratory Diseases (OTC & Prescription),34,6,49,2024-08-26,42
85,S006,Philadelphia,P009,Lisinopril,Cardiovascular Diseases (Prescription),42,17,39,2024-05-09,30
86,S006,Phoenix,P009,Tenofovir,AIDS Treatment (Prescription),78,8,20,2024-02-21,47
87,S006,Los Angeles,P009,Fluticasone,Respiratory Diseases (OTC & Prescription),11,6,39,2024-02-28,40
88,S006,San Jose,P009,Alendronate,Bone Health (OTC & Prescription),72,19,20,2024-04-24,15
89,S006,Phoenix,P009,Fluticasone,Respiratory Diseases (OTC & Prescription),52,14,43,2024-05-03,21
90,S007,San Jose,P010,Hydrocortisone,Dermatological (OTC & Prescription),62,19,24,2024-02-05,22
91,S007,Houston,P010,Citalopram,Mental Health (Prescription),15,12,24,2024-01-30,46
92,S007,New York City,P010,Aspirin,Pain Relief (OTC & Prescription),99,11,41,2024-01-30,44
93,S007,Chicago,P010,Vitamin D,Bone Health (OTC & Prescription),17,12,37,2024-01-31,26
94,S007,San Jose,P010,Benzoyl Peroxide,Dermatological (OTC & Prescription),56,6,43,2024-09-06,19
95,S007,Houston,P010,Alendronate,Bone Health (OTC & Prescription),93,12,37,2024-09-12,10
96,S007,Los Angeles,P010,Alendronate,Bone Health (OTC & Prescription),75,10,27,2024-03-02,25
97,S007,Houston,P010,Doxorubicin,Cancer Treatment (Prescription),48,17,39,2024-03-01,33
98,S007,San Jose,P010,Acetaminophen,Pain Relief (OTC & Prescription),57,13,31,2024-07-27,18
99,S007,Los Angeles,P010,Gabapentin,Neurological Disorders (Prescription),87,11,21,2024-02-13,22
100,S007,Philadelphia,P011,Gabapentin,Neurological Disorders (Prescription),14,11,32,2024-07-12,30
101,S007,Houston,P011,Ibuprofen,Pain Relief (OTC & Prescription),40,5,24,2024-03-23,41
102,S007,Philadelphia,P011,Insulin,Diabetes (Prescription & OTC),55,16,48,2024-09-07,19
103,S007,Philadelphia,P011,Atenolol,Cardiovascular Diseases (Prescription),99,9,28,2024-04-15,22
104,S007,Houston,P011,Benzoyl Peroxide,Dermatological (OTC & Prescription),52,18,42,2024-09-12,33
105,S008,New York City,P011,Ciprofloxacin,Antibiotics (Prescription),30,11,30,2024-02-15,31
106,S008,Philadelphia,P011,Doxorubicin,Cancer Treatment (Prescription),69,10,26,2024-04-19,26
107,S008,San Diego,P011,Benzoyl Peroxide,Dermatological (OTC & Prescription),81,19,42,2024-07-27,27
108,S008,Phoenix,P011,Emtricitabine,AIDS Treatment (Prescription),70,5,47,2024-08-27,35
109,S008,Los Angeles,P011,Levetiracetam,Neurological Disorders (Prescription),34,9,26,2024-08-14,46
110,S008,Houston,P012,Diazepam,Mental Health (Prescription),96,5,39,2024-02-10,10
111,S008,San Antonio,P012,Emtricitabine,AIDS Treatment (Prescription),28,10,41,2024-02-14,18
112,S008,Houston,P012,Sertraline,Mental Health (Prescription),98,13,49,2024-03-24,34
113,S008,San Jose,P012,Metoprolol,Cardiovascular Diseases (Prescription),46,14,46,2024-05-08,40
114,S008,Philadelphia,P012,Ibuprofen,Pain Relief (OTC & Prescription),19,15,43,2024-04-27,39
115,S008,San Antonio,P012,Albuterol,Respiratory Diseases (OTC & Prescription),48,16,47,2024-08-14,14
116,S008,Houston,P012,Montelukast,Respiratory Diseases (OTC & Prescription),35,9,23,2024-03-17,30
117,S008,Phoenix,P012,Montelukast,Respiratory Diseases (OTC & Prescription),80,15,28,2024-07-11,19
118,S008,Chicago,P012,Vitamin D,Bone Health (OTC & Prescription),70,5,36,2024-02-14,33
119,S008,San Jose,P012,Tenofovir,AIDS Treatment (Prescription),53,7,43,2024-04-26,10
120,S009,San Diego,P013,Benzoyl Peroxide,Dermatological (OTC & Prescription),46,6,20,2024-07-11,40
121,S009,Philadelphia,P013,Montelukast,Respiratory Diseases (OTC & Prescription),67,6,49,2024-03-09,32
122,S009,Houston,P013,Albuterol,Respiratory Diseases (OTC & Prescription),90,16,22,2024-04-08,11
123,S009,San Jose,P013,Carbamazepine,Neurological Disorders (Prescription),63,7,24,2024-02-11,18
124,S009,Houston,P013,Emtricitabine,AIDS Treatment (Prescription),80,18,24,2024-01-14,23
125,S009,New York City,P013,Benzoyl Peroxide,Dermatological (OTC & Prescription),29,18,22,2024-01-25,44
126,S009,Dallas,P013,Ranitidine,Gastrointestinal (OTC & Prescription),89,11,39,2024-03-08,44
127,S009,San Antonio,P013,Loperamide,Gastrointestinal (OTC & Prescription),73,15,20,2024-02-18,11
128,S009,San Jose,P013,Vitamin D,Bone Health (OTC & Prescription),77,14,28,2024-07-03,39
129,S009,Philadelphia,P013,Vitamin D,Bone Health (OTC & Prescription),64,7,38,2024-01-25,28
130,S009,San Antonio,P014,Insulin,Diabetes (Prescription & OTC),89,14,39,2024-05-25,17
131,S009,New York City,P014,Fluticasone,Respiratory Diseases (OTC & Prescription),84,16,31,2024-08-26,35
132,S009,Chicago,P014,Doxorubicin,Cancer Treatment (Prescription),60,17,20,2024-01-06,17
133,S009,New York City,P014,Artificial Tears,Eye Health (OTC & Prescription),75,9,28,2024-02-13,39
134,S009,Dallas,P014,Citalopram,Mental Health (Prescription),16,13,39,2024-07-05,16
135,S010,Chicago,P014,Sertraline,Mental Health (Prescription),26,13,28,2024-09-14,28
136,S010,Houston,P014,Levetiracetam,Neurological Disorders (Prescription),52,9,41,2024-06-03,44
137,S010,San Diego,P014,Atenolol,Cardiovascular Diseases (Prescription),67,17,33,2024-06-02,12
138,S010,Houston,P014,Insulin,Diabetes (Prescription & OTC),24,16,21,2024-05-09,30
139,S010,Phoenix,P014,Ibuprofen,Pain Relief (OTC & Prescription),77,12,49,2024-05-24,30
140,S010,San Diego,P015,Tenofovir,AIDS Treatment (Prescription),80,9,25,2024-08-17,41
141,S010,Chicago,P015,Sertraline,Mental Health (Prescription),34,15,26,2024-04-24,16
142,S010,San Antonio,P015,Loratadine,Eye Health (OTC & Prescription),22,19,43,2024-06-21,15
143,S010,San Antonio,P015,Tenofovir,AIDS Treatment (Prescription),85,6,23,2024-06-21,24
144,S010,Chicago,P015,Albuterol,Respiratory Diseases (OTC & Prescription),13,7,46,2024-08-24,41
145,S010,New York City,P015,Ranitidine,Gastrointestinal (OTC & Prescription),16,6,43,2024-05-09,41
146,S010,Dallas,P015,Paclitaxel,Cancer Treatment (Prescription),21,6,31,2024-08-09,23
147,S010,Philadelphia,P015,Artificial Tears,Eye Health (OTC & Prescription),11,17,43,2024-05-12,17
148,S010,Phoenix,P015,Vitamin D,Bone Health (OTC & Prescription),36,18,35,2024-01-11,46
149,S010,Houston,P015,Emtricitabine,AIDS Treatment (Prescription),82,19,30,2024-05-05,14
